word,definition,theme,score_distinct,score_total,flags,target_code,link
부지런한 범재가 부지런하지 못한 천재보다 낫다,"부지런한 보통 사람이 부지런하지 못한 천재보다 낫다는 뜻으로, 꾸준히 노력하여 공부하면 인재가 될 수 있다는 말.",growth,4,7,,611446,https://opendict.korean.go.kr/dictionary/view?sense_no=611446
구르는 돌은 이끼가 안 낀다,부지런하고 꾸준히 노력하는 사람은 침체되지 않고 계속 발전한다는 말.,growth,4,4,,607766,https://opendict.korean.go.kr/dictionary/view?sense_no=607766
배부른 고양이는 쥐를 잡지 않는다,가난한 사람은 부지런하지만 돈 있는 사람은 게으르다는 것을 비유적으로 이르는 말. &lt;동의 속담&gt; ‘배부른 매는 사냥을 않는다’,growth,4,4,violent:gray,610846,https://opendict.korean.go.kr/dictionary/view?sense_no=610846
배부른 매는 사냥을 않는다,가난한 사람은 부지런하지만 돈 있는 사람은 게으르다는 것을 비유적으로 이르는 말. &lt;동의 속담&gt; ‘배부른 고양이는 쥐를 잡지 않는다’,growth,4,4,violent:gray,610849,https://opendict.korean.go.kr/dictionary/view?sense_no=610849
작은 부자는 노력이 만들고 큰 부자는 하늘이 만든다,"돈을 벌어 작은 부자가 되는 것은 인간의 노력으로 가능하지만 큰 부자는 인간의 노력만으로는 가능하지 아니하다는 뜻으로, 인간의 노력에는 한계가 있음을 이르는 말.",growth,3,9,sexual:gray,614287,https://opendict.korean.go.kr/dictionary/view?sense_no=614287
걸음새 뜬 소가 천 리를 간다,"소는 비록 걸음이 뜨기는 하지만 한결같이 꾸준히 걸어가 마침내는 천 리를 간다는 뜻으로, 꾸준히 인내하면 큰 성과를 낼 수 있음을 비유적으로 이르는 말.",growth,3,5,sexual:gray,600918,https://opendict.korean.go.kr/dictionary/view?sense_no=600918
삼대 거지 없고 삼대 부자 없다,"삼대에 걸쳐서 계속 거지 노릇만 하는 집안도 없고 계속 부자인 집안도 없다는 뜻으로, 많은 재산이 오랫동안 유지될 수 없으며 가난한 형편 또한 오래가지 않는다는 것을 비유적으로 이르는 말. &lt;동의 속담&gt; ‘삼대 정승이 없고 삼대 거지가 없다’",growth,3,4,,604006,https://opendict.korean.go.kr/dictionary/view?sense_no=604006
십 년 적공이면 한 가지 성공을 한다,무슨 일이든지 오랫동안 꾸준히 노력하면 마침내는 성공하게 됨을 이르는 말.,growth,3,4,,604606,https://opendict.korean.go.kr/dictionary/view?sense_no=604606
천 리 길도 첫 걸음으로 시작된다,‘천 리 길도 한 걸음부터’의 북한 속담.,growth,3,4,sexual:gray,615261,https://opendict.korean.go.kr/dictionary/view?sense_no=615261
삼대 정승이 없고 삼대 거지가 없다,"삼대에 걸쳐서 계속 정승을 배출하는 집안도 없고 계속 거지인 집안도 없다는 뜻으로, 많은 재산이 오랫동안 유지될 수 없으며 가난한 형편 또한 오래가지 않는다는 것을 비유적으로 이르는 말. &lt;동의 속담&gt; ‘삼대 거지 없고 삼대 부자 없다’",growth,3,3,,604008,https://opendict.korean.go.kr/dictionary/view?sense_no=604008
소같이 벌어서[일하고] 쥐같이 먹어라,"소같이 꾸준하고 힘써 일하여 많이 벌어서는 쥐같이 조금씩 먹으라는 뜻으로, 일은 열심히 하여서 돈은 많이 벌고 생활은 아껴서 검소하게 하라는 말.",growth,3,3,violent:gray,612627,https://opendict.korean.go.kr/dictionary/view?sense_no=612627
천 리 길도 한 걸음부터,무슨 일이나 그 일의 시작이 중요하다는 말.,growth,3,3,sexual:gray,615262,https://opendict.korean.go.kr/dictionary/view?sense_no=615262
첫새벽에 문을 열면 오복이 들어온다,"아침 일찍 일어나 문을 열면 온갖 복이 들어온다는 뜻으로, 게으름을 피우지 말고 일찍 일어나 부지런히 일하라는 말.",growth,3,3,violent:gray,615316,https://opendict.korean.go.kr/dictionary/view?sense_no=615316
돈이 없으면 적막강산이요 돈이 있으면 금수강산이라,경제적으로 넉넉하여야 삶을 즐길 수 있음을 이르는 말. &lt;동의 속담&gt; ‘돈 있으면 활량 돈 못 쓰면 건달’,growth,2,5,sexual:gray|violent:gray,609150,https://opendict.korean.go.kr/dictionary/view?sense_no=609150
돈 있으면 활량 돈 못 쓰면 건달,경제적으로 넉넉하여야 삶을 즐길 수 있음을 이르는 말. &lt;동의 속담&gt; ‘돈이 없으면 적막강산이요 돈이 있으면 금수강산이라’,growth,2,5,sexual:gray|violent:gray,609131,https://opendict.korean.go.kr/dictionary/view?sense_no=609131
가난한 사람 걱정은 결국 돈 한 가지 없다는 걱정이다,가난한 사람에게서 걱정이란 결국 돈이 없는 데서 생기는 걱정뿐이라는 말.,growth,2,4,,600458,https://opendict.korean.go.kr/dictionary/view?sense_no=600458
부자네 곡식은 정한 게 없다,남의 곡식을 마음대로 빼앗는 부자의 곡식이 얼마나 되는지 한도를 정할 수 없는 것처럼 부자의 재산은 어느 것이나 다 착취와 사기 협잡으로 긁어모은 것임을 비유적으로 이르는 말.,growth,2,4,sexual:gray,611006,https://opendict.korean.go.kr/dictionary/view?sense_no=611006
부지런한 부자는 하늘도 못 막는다,부지런하면 반드시 부자가 됨을 비유적으로 이르는 말.,growth,2,4,,611447,https://opendict.korean.go.kr/dictionary/view?sense_no=611447
